gene	BB09.rpkm	BB10.rpkm	BB17.rpkm	BB19.rpkm	BB20.rpkm	BB21.rpkm	BB11.rpkm	BB12.rpkm	BB18.rpkm	reflen
yhaK.t01	880	843	235	248	218	466	762	2494	494	702
yhaL.t01	280	270	103	72	55	88	471	690	149	165
yhaM.t01	1694	1703	698	431	369	806	1202	4125	962	1311
yhaO.t01	2054	1779	680	436	472	838	1595	4615	1008	1332
tdcG.t01	1761	1465	487	466	338	715	1098	4543	950	1365
tdcF.t01	633	480	106	97	129	252	261	1216	304	390
tdcE.t01	7761	6578	2812	780	830	1292	2475	7751	1614	2295
tdcD.t01	6566	5080	3016	475	318	845	1296	4046	811	1209
tdcC.t01	9663	7127	4253	580	575	837	1440	4408	1065	1332
tdcB.t01	4505	3907	2783	306	345	616	1232	3546	765	990
tdcA.t01	1465	1361	541	234	206	507	937	3252	627	939
tdcR.t01	228	203	55	35	53	133	201	473	118	219
yhaB.t01	478	516	191	95	133	271	569	1747	309	540
yhaC.t01	1123	1312	313	199	239	633	1289	4062	683	1188
rnpB.r01	18937	18923	15598	30177	25101	23600	51042	40612	21116	377
garK.t01	2803	2361	1091	636	586	801	1251	3562	772	1146
garR.t01	2070	1483	584	521	566	919	863	2738	586	885
garL.t01	3161	2523	1344	762	631	943	642	2447	510	771
garP.t01	3809	3322	1823	809	706	1177	1394	4734	870	1335
garD.t01	2752	2319	963	651	734	1221	1609	5120	1063	1572
prlF.t01	977	856	514	577	563	534	691	1381	323	336
yhaV.t01	1330	1224	769	831	658	724	1214	2042	467	465
agaR.t01	1137	951	389	514	468	741	1220	3115	740	810
kbaZ.t01	1476	1264	505	395	337	779	1200	3872	843	1281
agaV.t01	504	497	89	131	160	315	486	1434	238	474
agaS.t01	1267	1006	339	351	359	502	975	3419	689	1155
kbaY.t01	882	862	238	224	252	427	760	2622	570	861
agaB.t01	543	615	189	127	132	265	482	1665	216	477
agaC.t01	876	678	289	201	209	375	715	2486	483	804
agaD.t01	882	632	242	250	210	475	820	2443	462	792
agaI.t01	912	753	219	238	197	446	761	2539	518	756
yraH.t01	706	570	105	167	193	329	645	1937	297	585
yraI.t01	853	799	197	161	169	510	701	2219	432	696
yraJ.t01	3067	2777	966	1148	1131	1865	3100	8411	1756	2517
yraK.t01	1507	1216	401	508	457	759	1210	3920	713	1092
rsmI.t01	1303	1111	455	505	424	604	1101	2600	677	861
lpoA.t01	6117	5631	3575	3401	3136	2975	4445	7803	2426	2037
yraN.t01	600	720	556	460	354	415	876	1440	500	396
diaA.t01	1035	822	443	326	363	450	1023	2092	450	591
yraP.t01	961	797	458	405	342	444	820	1676	593	576
yraQ.t01	1032	1029	410	424	375	574	870	2979	619	1041
yraR.t01	561	500	104	187	182	327	575	1607	301	636
yhbO.t01	507	420	136	467	472	645	647	1519	355	519
yhbP.t01	487	398	106	154	118	245	390	1124	272	444
yhbQ.t01	316	252	72	108	147	207	259	619	172	303
yhbS.t01	497	363	128	107	120	253	427	1184	242	504
yhbT.t01	763	631	169	263	227	345	568	1548	365	525
yhbU.t01	870	807	248	298	315	588	859	2882	579	996
yhbV.t01	895	612	223	221	268	450	683	2449	367	879
yhbW.t01	1200	1048	403	865	799	1034	1285	3000	748	1008
mtr.t01	1199	1039	406	423	468	746	4216	6749	3463	1245
deaD.t01	2019	1723	671	795	735	1181	2173	5658	1472	1890
yrbN.t01	47	55	8	16	14	28	48	122	28	81
nlpI.t01	1669	1607	798	1385	1274	1399	2267	3468	1077	885
pnp.t01	24891	26820	19418	23948	22409	20360	19742	19776	12533	2136
psrO.r01	201	94	24	43	28	83	175	450	64	174
rpsO.t01	2221	2134	1368	1414	1404	1268	2644	2015	855	270
truB.t01	2104	2139	1106	1166	1085	1210	1475	3193	913	945
rbfA.t01	709	677	450	352	357	409	717	1092	337	402
infB.t01	15942	15784	9523	9066	8623	8271	10382	13460	5723	2673
nusA.t01	16582	17599	11080	9664	9722	9204	7955	9352	5375	1488
rimP.t01	1891	1693	1201	1197	1097	1077	1129	1573	593	453
metY.r01	74	59	28	37	33	46	131	212	64	77
argG.t01	1724	1490	666	1299	1328	1540	1947	4241	982	1344
yhbX.t01	1695	1347	512	393	404	735	1551	4517	886	1626
leuU.r01	67	65	29	31	12	38	55	146	23	87
secG.t01	1050	1021	575	573	547	626	702	1222	523	333
glmM.t01	3466	3350	1941	1673	1463	1414	2854	4084	1531	1338
folP.t01	2492	2682	1738	1478	1183	1206	2107	3368	1179	849
ftsH.t01	5065	5120	2974	3637	3001	3011	5121	7692	2612	1935
rlmE.t01	2779	2655	1489	2700	2350	2186	3647	3449	1460	630
yhbY.t01	1747	1505	1079	1172	1201	1041	1679	1372	682	294
greA.t01	493	500	149	179	136	305	428	1430	275	477
dacB.t01	2170	1869	1098	823	703	1099	1635	4252	1014	1434
obgE.t01	1371	1214	487	529	547	759	1356	3321	716	1173
yhbE.t01	1087	931	401	341	340	660	822	2475	655	966
rpmA.t01	461	379	225	188	91	194	285	922	161	258
rplU.t01	7294	7367	5316	4011	3491	3249	5100	4161	2549	312
ispB.t01	6570	8077	6350	3705	3620	3882	4196	5492	2925	972
sfsB.t01	263	229	82	112	93	135	234	742	205	279
murA.t01	3048	2613	1393	1112	921	1264	2101	4002	1236	1260
ibaG.t01	1000	993	595	428	381	377	351	938	272	255
mlaB.t01	277	222	55	72	91	131	178	664	166	294
mlaC.t01	1692	1617	877	747	808	836	1303	2230	807	636
mlaD.t01	1627	1505	961	777	661	570	1214	1992	588	552
mlaE.t01	2022	1637	1097	627	508	591	901	2218	654	783
mlaF.t01	846	730	295	258	238	403	641	2157	431	810
yrbG.t01	1270	1089	528	524	534	675	1113	2856	638	978
kdsD.t01	2829	2578	1536	1710	1406	1327	1705	3421	1081	987
kdsC.t01	1279	1410	864	880	763	785	1262	2073	727	567
lptC.t01	1284	1236	672	872	761	803	1150	1920	544	576
lptA.t01	983	803	426	616	505	564	838	1680	571	558
lptB.t01	1049	925	464	504	435	492	844	1896	466	726
rpoN.t01	4437	4325	2631	3806	3436	3392	4813	6215	2544	1434
hpf.t01	2552	2528	1881	3178	3145	2855	3955	3613	1908	288
